# TEST CONFIGURATION BEGIN
# FileStream(filename='INSECTS-abrupt_balanced_norm.csv', target_idx=-1, n_targets=1, cat_features=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=10000, metrics=['accuracy'], n_wait=1, output_file='op.txt', pretrain_size=1000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT]
1437,0.625571,1.000000
1438,0.626424,1.000000
1439,0.625000,0.000000
1440,0.623583,0.000000
1441,0.624434,1.000000
1442,0.625282,1.000000
1443,0.626126,1.000000
1444,0.624719,0.000000
1445,0.625561,1.000000
1446,0.626398,1.000000
1447,0.627232,1.000000
1448,0.628062,1.000000
1449,0.628889,1.000000
1450,0.627494,0.000000
1451,0.628319,1.000000
1452,0.629139,1.000000
1453,0.627753,0.000000
1454,0.628571,1.000000
1455,0.629386,1.000000
1456,0.630197,1.000000
1457,0.628821,0.000000
1458,0.627451,0.000000
1459,0.628261,1.000000
1460,0.629067,1.000000
1461,0.627706,0.000000
1462,0.628510,1.000000
1463,0.629310,1.000000
1464,0.627957,0.000000
1465,0.628755,1.000000
1466,0.627409,0.000000
1467,0.626068,0.000000
1468,0.626866,1.000000
1469,0.625532,0.000000
1470,0.626327,1.000000
1471,0.627119,1.000000
1472,0.625793,0.000000
1473,0.624473,0.000000
1474,0.625263,1.000000
1475,0.626050,1.000000
1476,0.624738,0.000000
1477,0.625523,1.000000
1478,0.624217,0.000000
1479,0.625000,1.000000
1480,0.625780,1.000000
1481,0.624481,0.000000
1482,0.625259,1.000000
1483,0.623967,0.000000
1484,0.622680,0.000000
1485,0.623457,1.000000
1486,0.624230,1.000000
1487,0.625000,1.000000
1488,0.623722,0.000000
1489,0.624490,1.000000
1490,0.623218,0.000000
1491,0.623984,1.000000
1492,0.624746,1.000000
1493,0.625506,1.000000
1494,0.626263,1.000000
1495,0.627016,1.000000
1496,0.625755,0.000000
1497,0.626506,1.000000
1498,0.625251,0.000000
1499,0.624000,0.000000
1500,0.622754,0.000000
1501,0.623506,1.000000
1502,0.624254,1.000000
1503,0.623016,0.000000
1504,0.621782,0.000000
1505,0.620553,0.000000
1506,0.619329,0.000000
1507,0.618110,0.000000
1508,0.616896,0.000000
1509,0.615686,0.000000
1510,0.616438,1.000000
1511,0.617188,1.000000
1512,0.617934,1.000000
1513,0.616732,0.000000
1514,0.615534,0.000000
1515,0.616279,1.000000
1516,0.615087,0.000000
1517,0.615830,1.000000
1518,0.616570,1.000000
